year,city,country,avg_temp
1841,Hiroshima,Japan,14.02
1842,Hiroshima,Japan,14.51
1843,Hiroshima,Japan,14.65
1844,Hiroshima,Japan,14.33
1845,Hiroshima,Japan,14.53
1846,Hiroshima,Japan,14.74
1847,Hiroshima,Japan,14.87
1848,Hiroshima,Japan,14.70
1849,Hiroshima,Japan,14.67
1850,Hiroshima,Japan,14.20
1851,Hiroshima,Japan,14.03
1852,Hiroshima,Japan,14.08
1853,Hiroshima,Japan,14.38
1854,Hiroshima,Japan,14.82
1855,Hiroshima,Japan,15.07
1856,Hiroshima,Japan,14.60
1857,Hiroshima,Japan,14.58
1858,Hiroshima,Japan,14.69
1859,Hiroshima,Japan,14.67
1860,Hiroshima,Japan,14.12
1861,Hiroshima,Japan,14.27
1862,Hiroshima,Japan,14.06
1863,Hiroshima,Japan,14.75
1864,Hiroshima,Japan,14.32
1865,Hiroshima,Japan,14.75
1866,Hiroshima,Japan,14.22
1867,Hiroshima,Japan,14.94
1868,Hiroshima,Japan,14.80
1869,Hiroshima,Japan,14.82
1870,Hiroshima,Japan,14.78
1871,Hiroshima,Japan,14.83
1872,Hiroshima,Japan,14.60
1873,Hiroshima,Japan,14.08
1874,Hiroshima,Japan,14.81
1875,Hiroshima,Japan,14.57
1876,Hiroshima,Japan,14.81
1877,Hiroshima,Japan,14.98
1878,Hiroshima,Japan,14.73
1879,Hiroshima,Japan,15.12
1880,Hiroshima,Japan,14.77
1881,Hiroshima,Japan,14.57
1882,Hiroshima,Japan,14.62
1883,Hiroshima,Japan,14.73
1884,Hiroshima,Japan,13.73
1885,Hiroshima,Japan,14.23
1886,Hiroshima,Japan,14.55
1887,Hiroshima,Japan,14.69
1888,Hiroshima,Japan,14.83
1889,Hiroshima,Japan,14.31
1890,Hiroshima,Japan,15.73
1891,Hiroshima,Japan,14.82
1892,Hiroshima,Japan,14.52
1893,Hiroshima,Japan,14.36
1894,Hiroshima,Japan,15.66
1895,Hiroshima,Japan,14.73
1896,Hiroshima,Japan,14.61
1897,Hiroshima,Japan,14.65
1898,Hiroshima,Japan,15.46
1899,Hiroshima,Japan,14.92
1900,Hiroshima,Japan,14.63
1901,Hiroshima,Japan,14.45
1902,Hiroshima,Japan,14.74
1903,Hiroshima,Japan,14.79
1904,Hiroshima,Japan,14.68
1905,Hiroshima,Japan,14.87
1906,Hiroshima,Japan,14.35
1907,Hiroshima,Japan,14.50
1908,Hiroshima,Japan,14.53
1909,Hiroshima,Japan,14.59
1910,Hiroshima,Japan,14.39
1911,Hiroshima,Japan,14.93
1912,Hiroshima,Japan,14.65
1913,Hiroshima,Japan,14.21
1914,Hiroshima,Japan,15.55
1915,Hiroshima,Japan,15.22
1916,Hiroshima,Japan,15.60
1917,Hiroshima,Japan,14.11
1918,Hiroshima,Japan,14.33
1919,Hiroshima,Japan,14.95
1920,Hiroshima,Japan,15.13
1921,Hiroshima,Japan,14.55
1922,Hiroshima,Japan,15.21
1923,Hiroshima,Japan,14.91
1924,Hiroshima,Japan,14.63
1925,Hiroshima,Japan,14.68
1926,Hiroshima,Japan,14.54
1927,Hiroshima,Japan,14.71
1928,Hiroshima,Japan,15.14
1929,Hiroshima,Japan,14.92
1930,Hiroshima,Japan,15.41
1931,Hiroshima,Japan,14.87
1932,Hiroshima,Japan,14.77
1933,Hiroshima,Japan,15.07
1934,Hiroshima,Japan,14.71
1935,Hiroshima,Japan,15.05
1936,Hiroshima,Japan,14.29
1937,Hiroshima,Japan,15.44
1938,Hiroshima,Japan,15.09
1939,Hiroshima,Japan,15.23
1940,Hiroshima,Japan,15.01
1941,Hiroshima,Japan,15.15
1942,Hiroshima,Japan,15.12
1943,Hiroshima,Japan,14.88
1944,Hiroshima,Japan,15.03
1945,Hiroshima,Japan,14.51
1946,Hiroshima,Japan,15.40
1947,Hiroshima,Japan,14.32
1948,Hiroshima,Japan,15.74
1949,Hiroshima,Japan,14.94
1950,Hiroshima,Japan,15.40
1951,Hiroshima,Japan,15.10
1952,Hiroshima,Japan,15.13
1953,Hiroshima,Japan,15.44
1954,Hiroshima,Japan,15.50
1955,Hiroshima,Japan,15.70
1956,Hiroshima,Japan,14.88
1957,Hiroshima,Japan,14.87
1958,Hiroshima,Japan,15.64
1959,Hiroshima,Japan,16.10
1960,Hiroshima,Japan,15.83
1961,Hiroshima,Japan,16.18
1962,Hiroshima,Japan,15.30
1963,Hiroshima,Japan,14.90
1964,Hiroshima,Japan,15.83
1965,Hiroshima,Japan,14.61
1966,Hiroshima,Japan,15.27
1967,Hiroshima,Japan,15.34
1968,Hiroshima,Japan,14.90
1969,Hiroshima,Japan,15.10
1970,Hiroshima,Japan,15.05
1971,Hiroshima,Japan,15.25
1972,Hiroshima,Japan,15.33
1973,Hiroshima,Japan,15.40
1974,Hiroshima,Japan,14.79
1975,Hiroshima,Japan,15.51
1976,Hiroshima,Japan,14.68
1977,Hiroshima,Japan,15.39
1978,Hiroshima,Japan,15.81
1979,Hiroshima,Japan,15.85
1980,Hiroshima,Japan,14.59
1981,Hiroshima,Japan,14.76
1982,Hiroshima,Japan,15.27
1983,Hiroshima,Japan,15.50
1984,Hiroshima,Japan,14.93
1985,Hiroshima,Japan,15.48
1986,Hiroshima,Japan,14.81
1987,Hiroshima,Japan,15.65
1988,Hiroshima,Japan,15.12
1989,Hiroshima,Japan,15.77
1990,Hiroshima,Japan,16.40
1991,Hiroshima,Japan,15.60
1992,Hiroshima,Japan,15.63
1993,Hiroshima,Japan,14.93
1994,Hiroshima,Japan,16.33
1995,Hiroshima,Japan,15.25
1996,Hiroshima,Japan,15.20
1997,Hiroshima,Japan,15.76
1998,Hiroshima,Japan,16.72
1999,Hiroshima,Japan,15.93
2000,Hiroshima,Japan,15.92
2001,Hiroshima,Japan,15.86
2002,Hiroshima,Japan,16.09
2003,Hiroshima,Japan,15.67
2004,Hiroshima,Japan,16.56
2005,Hiroshima,Japan,15.75
2006,Hiroshima,Japan,15.87
2007,Hiroshima,Japan,16.53
2008,Hiroshima,Japan,15.96
2009,Hiroshima,Japan,15.93
2010,Hiroshima,Japan,16.12
2011,Hiroshima,Japan,15.71
2012,Hiroshima,Japan,15.53
2013,Hiroshima,Japan,16.54
